Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,CPA,Mis,Dis,Rec,PrgR,Season
917,Bryan Mbeumo,CMR,FW,Brentford,22,1999,32.30,1335,24,177,425,755,125,1334,88,45,51.10,37,42.00,776,4292,1862,66,33,26,72,54,862,2023
918,James McArthur,SCO,MF,Crystal Palace,34,1987,0.60,60,5,22,29,9,0,60,2,1,50.00,0,0.00,36,168,84,0,2,0,1,3,40,2023
919,Alex McCarthy,ENG,GK,Southampton,32,1989,6.00,261,205,260,1,0,0,261,0,0,,0,,139,546,264,0,0,0,0,0,133,2023
920,John McGinn,SCO,"MF,FW",Aston Villa,27,1994,29.90,1348,37,218,756,388,45,1348,70,45,64.30,14,20.00,804,4072,1799,34,35,8,58,35,888,2023
921,Scott McKenna,SCO,DF,Nott'ham Forest,25,1996,17.50,877,151,501,333,45,21,877,7,5,71.40,1,14.30,430,1885,929,5,1,0,2,2,508,2023
922,Weston McKennie,USA,MF,Leeds United,23,1998,16.00,807,41,188,401,228,17,807,16,11,68.80,4,25.00,400,1738,791,14,16,0,28,25,445,2023
923,Dwight McNeil,ENG,"FW,MF",Everton,22,1999,27.80,1358,52,266,505,614,61,1357,108,54,50.00,51,47.20,738,5432,2144,76,44,16,53,45,762,2023
924,Scott McTominay,SCO,MF,Manchester Utd,25,1996,12.90,618,69,205,287,132,25,618,26,13,50.00,9,34.60,315,1610,782,20,16,3,24,19,359,2023
925,Ben Mee,ENG,DF,Brentford,32,1989,36.30,2122,272,1089,887,156,71,2122,13,12,92.30,1,7.70,1146,4790,2581,8,11,3,18,2,1179,2023
926,Edouard Mendy,SEN,GK,Chelsea,30,1992,9.50,307,265,304,3,0,0,307,1,0,0.00,1,100.00,171,790,423,0,0,0,0,0,157,2023
927,Nampalys Mendy,SEN,MF,Leicester City,30,1992,8.40,490,12,139,310,45,2,490,11,7,63.60,3,27.30,283,1352,468,2,5,0,7,1,333,2023
928,Chris Mepham,WAL,DF,Bournemouth,24,1997,24.40,1336,285,852,455,36,14,1336,7,3,42.90,3,42.90,650,3099,1628,2,6,2,4,3,788,2023
929,Illan Meslier,FRA,GK,Leeds United,22,2000,34.00,1122,903,1116,5,2,1,1122,0,0,,0,,596,3396,1969,0,0,0,1,1,424,2023
930,Alex Mighten,ENG,FW,Nott'ham Forest,20,2002,0.10,4,0,1,0,3,0,4,3,0,0.00,2,66.70,4,27,10,0,0,0,0,0,4,2023
931,Lewis Miley,ENG,MF,Newcastle Utd,16,2006,0.20,9,1,3,4,2,0,9,0,0,,0,,3,15,1,0,0,0,0,0,3,2023
932,Luka Milivojevi?,SRB,MF,Crystal Palace,31,1991,5.70,321,28,117,153,55,1,321,1,1,100.00,0,0.00,162,697,263,2,3,0,4,6,178,2023
933,James Milner,ENG,"MF,DF",Liverpool,36,1986,10.10,848,24,196,390,264,24,848,21,11,52.40,8,38.10,447,1868,886,21,17,5,19,14,551,2023
934,Yerry Mina,COL,DF,Everton,27,1994,6.60,402,58,198,176,30,16,402,2,1,50.00,0,0.00,217,1089,622,1,4,1,4,0,255,2023
935,Tyrone Mings,ENG,DF,Aston Villa,29,1993,35.00,2228,384,1276,877,81,21,2228,12,6,50.00,3,25.00,1379,7995,4556,20,21,3,8,7,1486,2023
936,Tyrick Mitchell,ENG,DF,Crystal Palace,22,1999,32.10,1899,115,654,834,431,35,1899,30,17,56.70,9,30.00,827,3148,1433,23,19,4,35,17,957,2023
937,Kaoru Mitoma,JPN,"FW,MF",Brighton,25,1997,25.80,1312,18,146,466,716,177,1312,130,59,45.40,55,42.30,891,6882,3828,143,82,85,60,33,986,2023
938,Aleksandar Mitrovi?,SRB,FW,Fulham,27,1994,22.30,814,27,79,392,349,144,806,47,23,48.90,22,46.80,451,1873,715,24,15,10,65,58,646,2023
939,Kieffer Moore,WAL,FW,Bournemouth,29,1992,14.20,522,36,59,286,178,49,522,13,2,15.40,7,53.80,252,940,302,10,8,2,42,31,396,2023
940,Andrew Moran,IRL,FW,Brighton,18,2003,0.10,6,0,0,5,1,0,6,0,0,,0,,3,2,1,0,0,0,2,0,3,2023
941,Álex Moreno,ESP,DF,Aston Villa,29,1993,14.80,949,60,327,337,293,43,949,57,23,40.40,27,47.40,510,3260,1642,65,29,16,38,15,570,2023
942,Mason Mount,ENG,"MF,FW",Chelsea,23,1999,18.30,969,17,110,415,455,56,969,31,15,48.40,13,41.90,530,2745,1429,48,34,11,36,29,678,2023
